;Id_sensor;Time;NOx;max_wind10;avg_wind10;max_wind100;avg_wind100;max_humidity;avg_humidity;max_precipitation;avg_precipitation;max_temperature;avg_temperature;min_temperature;k_precipitation;k_wind10;type;area
1657;6218;febbraio 17;94.0718330849478;18.4;6.10119047619048;31.5;9.5983630952381;100;85.6026785714286;4.1;0.130952380952381;13.5;5.60282738095238;-1.4;7;8;B;U
2193;6218;marzo 17;58.425303030303;28.2;7.78790322580645;43.9;11.8076612903226;99;72.0524193548387;4.1;0.0895161290322581;21.4;10.1518817204301;0.1;5;14;B;U
1457;6218;aprile 17;37.2720833333333;21.4;7.73347222222222;36.2;11.7981944444444;99;67.1402777777778;5.1;0.122083333333333;22.4;12.6766666666667;-0.3;5;19;B;U
2057;6218;maggio 17;30.9475100942127;21.9;7.16706989247312;34.5;11.0434139784946;100;71.9112903225806;4;0.153629032258065;28.4;16.8158602150538;2.6;10;16;B;U
1857;6218;giugno 17;13.4815592203898;23.5;7.29694444444444;40.9;11.3506944444444;97;69.8819444444444;10.8;0.331805555555556;31.5;22.1311111111111;11.5;11;16;B;U
1957;6218;luglio 17;11.653036437247;23.5;6.52513440860215;39.4;9.70120967741935;100;71.4879032258064;11.2;0.183333333333333;31.3;22.3911290322581;12.1;7;12;B;U
1357;6218;agosto 17;13.7583333333333;25.5;7.28118279569892;39.2;10.7810483870968;97;70.0430107526882;10.1;0.117741935483871;32.8;23.239247311828;11.9;5;17;B;U
2457;6218;settembre 17;31.9697520661157;23.7;6.43722222222222;39.5;9.57708333333333;100;78.9847222222222;8.1;0.260277777777778;24.3;16.075;6.3;10;9;B;U
2357;6218;ottobre 17;71.6692200557103;26.2;6.22795698924731;41.3;8.58763440860215;100;75.9126344086021;1;0.0118279569892473;22.4;13.2951612903226;4;2;7;B;U
2259;6218;novembre 17;110.943194444444;22;5.44472222222222;37.8;7.66611111111111;100;81.0097222222222;5;0.126666666666667;16;6.65430555555556;-3.8;7;7;B;U
1557;6218;dicembre 17;154.672849462366;23.3;6.51733870967742;40.7;9.97876344086021;100;75.8467741935484;5;0.137365591397849;10.8;1.83561827956989;-6.1;4;12;B;U
2957;6218;gennaio 18;111.852456647399;26.3;5.89381720430108;41.3;9.48440860215054;100;82.4072580645161;3.9;0.0751344086021505;13.7;4.77674731182796;-4;3;9;B;U
2857;6218;febbraio 18;71.44;17.4;5.65252976190476;27;8.14895833333333;100;78.9449404761905;1.4;0.0648809523809524;9.6;2.64940476190476;-6.3;6;5;B;U
3357;6218;marzo 18;65.4796657381616;20.1;6.55188172043011;34.4;10.4271505376344;100;81.5766129032258;5.6;0.299327956989247;14.8;6.13400537634409;-3.6;14;7;B;U
2657;6218;aprile 18;31.0717696629213;23.8;7.54777777777778;35.7;11.4833333333333;100;73.5;6.5;0.208333333333333;25;14.1004166666667;0.6;11;18;B;U
3259;6218;maggio 18;22.925371120108;19.8;6.12782258064516;31.8;8.74758064516129;100;79.5900537634409;9.8;0.274059139784946;25.9;16.8833333333333;8.8;21;14;B;U
3057;6218;giugno 18;18.5955369595537;17.7;7.07166666666667;31.3;10.5740277777778;99;74.575;6.5;0.11875;30.6;20.8166666666667;13.3;8;14;B;U
3193;6218;luglio 18;15.4985175202156;16.6;6.12943548387097;28.3;8.5880376344086;100;74.4005376344086;9.9;0.188440860215054;31.9;23.0104838709677;13.9;11;16;B;U
2557;6218;agosto 18;12.7620457604307;18.2;6.50403225806452;30.4;8.68911290322581;100;68.010752688172;10;0.176344086021505;32.1;23.7594086021505;11.8;8;17;B;U
3657;6218;settembre 18;28.5972183588317;27.3;6.06361111111111;41.7;8.31166666666667;100;76.85;5.2;0.144861111111111;27.9;19.1973611111111;7.9;6;8;B;U
3557;6218;ottobre 18;46.0308209959623;41.3;8.0505376344086;64.7;12.259811827957;100;77.7620967741936;6.8;0.235887096774194;26.8;14.9033602150538;6.1;7;10;B;U
3457;6218;novembre 18;76.4302228412256;25.6;5.72833333333333;43.6;9.06597222222222;100;86.4041666666667;9.5;0.21875;17.2;9.275;-0.8;11;7;B;U
2757;6218;dicembre 18;152.876747311828;24.4;5.84905913978495;42.4;9.21814516129032;100;76.9811827956989;1.5;0.0235215053763441;16;3.1508064516129;-4.5;1;7;B;U
4193;6218;gennaio 19;105.320592193809;26.4;6.99368279569893;41.1;11.0197580645161;100;68.8629032258064;0.8;0.0170698924731183;14.3;1.81465053763441;-5.3;1;13;B;U
4057;6218;febbraio 19;107.786011904762;22.3;5.93139880952381;39.6;8.63288690476191;100;71.3348214285714;2.2;0.0639880952380952;18;5.27083333333333;-4;4;4;B;U
4557;6218;marzo 19;43.0400537634409;33;8.1116935483871;54.9;12.629435483871;97;61.3319892473118;3.9;0.0530913978494624;21.7;9.46075268817204;-1.5;3;18;B;U
3857;6218;aprile 19;26.738417266187;31.9;8.09638888888889;52.1;12.4145833333333;99;73.4055555555556;4.7;0.285138888888889;21;11.86;2;14;18;B;U
4457;6218;maggio 19;24.0083333333333;23.8;6.59448924731183;37.1;10.2185483870968;99;77.6962365591398;4;0.186962365591398;22.3;13.6950268817204;2.5;14;14;B;U
4259;6218;giugno 19;18.1199442119944;26.9;7.24888888888889;45.5;10.8536111111111;99;70.625;10.9;0.190833333333333;34.1;22.3401388888889;10.3;8;17;B;U
4357;6218;luglio 19;18.0071524966262;22.6;6.57594086021505;39.3;9.45067204301075;100;68.377688172043;6.7;0.126075268817204;33.4;24.2576612903226;13;8;14;B;U
3757;6218;agosto 19;11.948976109215;22.5;6.81397849462366;38.4;9.84959677419355;99;70.5147849462366;10.9;0.283064516129032;31.8;23.4987903225806;13.8;12;14;B;U
4857;6218;settembre 19;20.65125;17.7;6.10458333333333;27.3;8.55013888888889;99;75.5194444444444;12.4;0.177777777777778;29.7;18.5051388888889;7.9;8;8;B;U
4757;6218;ottobre 19;31.3417227456258;27.7;6.50067204301075;45.2;9.89448924731183;100;83.4032258064516;8.8;0.21491935483871;22.1;14.5887096774194;6.8;12;9;B;U
4657;6218;novembre 19;48.4948467966574;34.7;7.48041666666667;57.1;12.5238888888889;100;85.7138888888889;5.4;0.448472222222222;17.4;8.69013888888889;0.3;17;13;B;U
3957;6218;dicembre 19;75.0748317631225;28.9;6.48817204301075;47.5;10.6931451612903;100;79.3763440860215;6.6;0.170564516129032;13.7;5.24771505376344;-3.8;10;9;B;U
5357;6218;gennaio 20;111.689098250336;16.2;5.25282258064516;30.5;7.76518817204301;100;73.2459677419355;3.3;0.0337365591397849;13.5;3.21935483870968;-4.3;1;8;B;U
5259;6218;febbraio 20;52.6596264367816;30.2;7.78462643678161;45.9;12.7047413793103;100;68.0086206896552;0.5;0.019683908045977;16.2;6.73850574712644;-3.6;0;17;B;U
5757;6218;marzo 20;22.2761455525606;23.8;7.33051075268817;40.1;10.9354838709677;100;73.0819892473118;4.4;0.148118279569892;18.4;7.98051075268817;-0.6;7;14;B;U
5057;6218;aprile 20;15.1384722222222;31.7;7.17291666666667;46.7;10.5386111111111;100;64.7152777777778;4.6;0.0940277777777778;23.2;12.9454166666667;-3.4;5;11;B;U
5657;6218;maggio 20;15.721181556196;26.8;7.63615591397849;44.6;12.0993279569892;99;71.9744623655914;6.6;0.179301075268817;24.2;16.9327956989247;8.1;11;22;B;U
5457;6218;giugno 20;16.260303030303;19.9;6.45083333333333;33;9.70763888888889;99;76.5916666666667;11.9;0.296944444444444;28.7;19.4219444444444;11.3;9;14;B;U
5557;6218;luglio 20;13.4004195804196;18.4;6.26760752688172;33.1;8.87379032258064;98;70.0631720430108;10.7;0.130376344086022;32.9;22.9036290322581;12.4;7;12;B;U
4957;6218;agosto 20;16.2227752639517;20.3;6.64717741935484;34.7;9.40658602150538;98;73.9905913978495;18.2;0.261021505376344;33;22.9241935483871;12.7;10;14;B;U
6057;6218;settembre 20;17.9679566563468;20.9;6.64777777777778;36.8;9.37055555555555;100;78.3402777777778;5;0.203055555555556;27.7;18.3993055555556;5;7;9;B;U
5957;6218;ottobre 20;46.5755520504732;42.7;7.36008064516129;68.5;10.9685483870968;100;82.7298387096774;8;0.264381720430108;21.4;11.8150537634409;1.6;10;5;B;U
5857;6218;novembre 20;74.9155988857939;17.3;4.45138888888889;23.1;6.01430555555556;100;85.2097222222222;1.7;0.0136111111111111;16.6;8.26652777777778;-1.1;2;1;B;U
5193;6218;dicembre 20;101.857200538358;27.8;5.1880376344086;45.8;8.2491935483871;100;91.0309139784946;3.9;0.279435483870968;10.3;4.04825268817204;-4.6;11;7;B;U
6557;6218;gennaio 21;76.7313593539704;17.4;5.89301075268817;35.5;9.1760752688172;100;78.1962365591398;5.4;0.156048387096774;11.7;1.78508064516129;-5.9;10;14;B;U
6457;6218;febbraio 21;69.5119402985075;22.3;5.88943452380952;35.5;9.05595238095238;100;78.0178571428571;3.7;0.0998511904761905;18.1;6.31934523809524;-6.1;3;8;B;U
6957;6218;marzo 21;38.4234817813765;26.6;7.21008064516129;41.8;10.4305107526882;100;65.75;2.4;0.0120967741935484;22.7;7.82809139784946;-3.4;0;10;B;U
6259;6218;aprile 21;24.1230769230769;29.5;7.21166666666667;41.1;11.03625;99;67.5069444444444;3.1;0.117222222222222;23.8;10.6886111111111;-1;6;13;B;U
6857;6218;maggio 21;21.5208613728129;22.7;7.25752688172043;33.3;11.6407258064516;100;71.1129032258064;10;0.199596774193548;22.4;14.6799731182796;4.7;11;20;B;U
6657;6218;giugno 21;20.2593267882188;20.9;6.83097222222222;34.3;10.1930555555556;99;63.5027777777778;5.3;0.0523611111111111;31.4;22.4534722222222;13.3;4;15;B;U
6757;6218;luglio 21;13.6485135135135;21.3;7.39516129032258;38.8;11.1935483870968;100;72.5161290322581;11.2;0.403897849462366;29.7;22.4122311827957;12.8;12;18;B;U
6193;6218;agosto 21;18.6008278145695;26.3;6.62069892473118;42.2;9.52903225806452;99;71.3884408602151;12.4;0.138978494623656;32.4;21.6659946236559;11.4;6;15;B;U
7259;6218;settembre 21;36.7310751104566;24.6;6.56625;41.5;9.49263888888889;100;71.7513888888889;7.9;0.154444444444444;28.9;19.4963888888889;9.3;6;9;B;U
7193;6218;ottobre 21;58.0061994609164;23.5;6.13817204301075;40.5;8.54502688172043;100;80.7432795698925;6.3;0.0979838709677419;20.5;11.9981182795699;2.4;4;6;B;U
7057;6218;novembre 21;79.5484005563282;19.9;5.89583333333333;35.2;9.01736111111111;100;85.5888888888889;6.4;0.245138888888889;15.3;7.35013888888889;-8.8;11;9;B;U
6357;6218;dicembre 21;150.724426450742;21.3;4.89072580645161;45.7;7.36854838709677;100;86.2768817204301;2;0.034005376344086;10.1;2.5502688172043;-5.7;1;4;B;U
7757;6218;gennaio 22;107.914713896458;24.1;5.77365591397849;43.3;8.38991935483871;100;76.5927419354839;2.3;0.0157258064516129;15.1;2.33212365591398;-5.5;1;12;B;U
7657;6218;febbraio 22;66.3366666666667;35.8;7.54464285714286;59;11.9654761904762;100;69.0892857142857;2.1;0.0440476190476191;16.1;5.83303571428571;-4.3;2;12;B;U
8193;6218;marzo 22;48.4626684636119;19.6;6.57029569892473;33;9.65739247311828;97;58.7231182795699;2.3;0.0145161290322581;20.7;7.49516129032258;-4.3;1;7;B;U
7457;6218;aprile 22;31.6079166666667;30.8;7.58458333333333;42.5;11.82875;100;63.0444444444444;4.8;0.0768055555555556;23.6;11.8119444444444;-0.4;5;14;B;U
8057;6218;maggio 22;25.4321621621622;24.2;7.16922043010753;35;10.6819892473118;97;67.9569892473118;6.4;0.134811827956989;30.9;18.8655913978495;8.4;11;17;B;U
7857;6218;giugno 22;21.850918196995;25.1;7.80805555555556;42.7;11.5806944444444;97;59.5638888888889;17.1;0.184444444444444;33.7;23.9448611111111;12.4;6;24;B;U
